Title;ImageUrl;Link;Description;Price;StartDate;EndDate;Duration;MinParticipants;MaxParticipants;Category;Tags
Microsoft Excel Automation - януари 2020;;https://softuni.bg/trainings/2770/microsoft-excel-automation-january-2020;"В курса по Microsoft Excel Automation ще се запознаете с технологията Visual Basic for Application (VBA) и различни похвати за надграждане способностите на Microsoft Excel. В курса ще бъдат показани детайлни примери и разрешения, с които ще можете да извършвате допълнителни функции и действия. С Microsoft Excel Automation ще можете да разгърнете своите способности, използвайки VBA, за да създавате специфични решения и инструменти за вашата организация или бизнес. ";240 лв.;23 януари 2020;;8 седмици;;;;
"HTML &amp; CSS - февруари 2020";;https://softuni.bg/trainings/2784/html-and-css-february-2020;"Целта на курса ""HTML &amp; CSS"" е да положи основни знания поуеб технологии и по-конкретно запознаване с HTML5 и CSS3. Придобиват се начални знания в уеб разработката, уеб браузъри, инструменти за HTML / CSS / DOM разработка и се развиват практически умения за използване на езика за описание на уеб съдържание -HTML -и езика за стилизиране на уеб съдържание -CSS.При изучаването на HTML се обръща внимание на основните HTML тагове, параграфи, списъци, таблици, форми, контроли и таговете за семантичен HTML. Покриват се последните новости на HTML5 стандарта.При изучаването наCSSсе обръща внимание на основните CSS селектори и стилове, работа с класове, презентационни правила, правила за позициониране и изглед (layout) в CSS. Покриват се последните новости на CSS3 стандарта и модерните изисквания за адаптивен дизайн (с media queries и flexbox), и други похвати за стилизиране.Курсът набляга на практически упражнения с HTML и CSS, чрез които ви въвлича в реални проекти за изработка на уеб страници, имплементация на фрагменти от сайтове и създаване на цялостни модерни уеб сайтове с добра визия, съвременна структура и мобилна поддръжка.Оценяването в курса е на базата на предадени домашни и практически изпит. ";290 лв.;05 февруари 2020;;6 седмици;;;;
Windows System Administration Advanced – февруари 2020;;https://softuni.bg/trainings/2783/windows-system-administration-advanced–february-2020;"Основна цел на курса е да подпомогне надграждането на знания и умения за управление на Windows Server базирана инфраструктура в посока изграждане и управление на решения за виртуализация и контейнеризация, съхранение и споделяне на данни, групи от сървъри и устойчиви услуги и др. Това ще бъде постигнато чрез полагане на солидни теоретични основи, допълнени със съответните практически постановки и задачи.По време на занятията ще бъде използван Windows Server 2019, като при нужда и възможност ще бъде правен паралел с предходните версии на системата &ndash; 2016 и 2012 (R2). ";240 лв.;06 февруари 2020;;6 седмици;;;;
Math Concepts for Developers - февруари 2020;;https://softuni.bg/trainings/2778/math-concepts-for-developers-february-2020;"Ако проявявате интерес към Artificial Intelligence, Machine Learning, Deep Learning, то тогава вероятно вече знаете, че в тяхната основа стои не друго, а математика. Разбирането на основни математически принципи като линейна алгебра, вероятности, статистика и оптимизация е първата стъпка към разбирането на логиката, която стои зад редица софтуерни решения. Обучението може да бъде отправна точка към области като: дизайн на алгоритми, обработка и анализ на данни, програмиране с научни цели, машинно обучение, криптография и др. Полезно е също така за хора, които имат интерес към математическите основи и методи и искат да развият логическото си мислене в помощ на уменията си като разработчици на софтуер.Основната цел на курса е да изгради основата от математически знания, които са ви нужни, за да започнете кариерата си в областта на изкуствения интелект. Ще работим върху формиране на интуитивно разбиране на основните математически понятия, които стоят зад решаването на различни задачи, свързани с разработка на софтуер.Ще разберете как се работи с матрици и вектори, къде и защо се използват комплексни числа, каква връзка има производната на функция със скоростта и др. В лекционните занятия ще бъдат въведени новите концепции и примери за използването им в реалния живот, а по време на практическите занятия същите ще бъдат затвърдени с писане на код (на езика Python). ";190 лв.;12 февруари 2020;;14 седмици;;;;
C++ Fundamentals - март 2020;;https://softuni.bg/trainings/2692/cpp-fundamentals-march-2020;"Курсът ще запознае участниците с основния синтаксис на C++, започвайки с бърз оглед на типове данни, условни конструкции, цикли и работа с функции. Ще бъдат разгледани масиви и особеностите им в C++, както и линейните контейнери (vector, list), асоциативните контейнери (map, set), контейнерните адаптери (stack, queue) и символните низове от STL. Обучението ще обхване и първите стъпки в обектно-ориентираното програмиране със C++, като студентите ще се научат да създават собствени класове, да инициализират и работят с обекти. През цялото продължение на курса ще се показват често-срещани грешки в работата с езика и тяхното избягване. Заедно с това курсистите ще решават задачи, които да утвърдят познанията им върху материала. ";190 лв.;18 март 2020;;10 седмици;;;;
Agile Software Development with Scrum - март 2020;;https://softuni.bg/trainings/2549/agile-software-development-with-scrum-march-2020;"Целта на този курс е да запознае аудиторията с най-широко разпространената процесна рамка от семейството на Agile - Scrum. Ще разгледаме всички компоненти на процесната рамка Scrum &ndash; роли, артефакти, събития. Ще обърнем особено внимание на ролите на Product Owner и Scrum Master, дори и след повече от 20 години все още не са разбирани добре. Ще се спрем и на основните събития в Scrum &ndash; планирането и провеждането на спринта и дневната среща, ревюто и ретроспекцията. Накрая ще разгледаме най-често срещаните грешки, водещи до провал на Scrum в даден проект, екип или организация. ";240 лв.;20 март 2020;;7 седмици;;;;
Linux System Administration Advanced – април 2020;;https://softuni.bg/trainings/2785/linux-system-administration-advanced–april-2020;"Основна цел на курса е да подпомогне надграждането на знания и умения за управление на Linux базирана инфраструктура в посока изграждане и управление на решения за виртуализация и контейнеризация, съхранение и споделяне на данни, групи от сървъри и устойчиви услуги и др. Това ще бъде постигнато чрез полагане на солидни теоретични основи, допълнени със съответните практически постановки и задачи.По време на занятията ще бъдат използвани избрани представители (CentOS, openSUSE и Ubuntu) на трите основни фамилии от Linux дистрибуции. ";240 лв.;02 април 2020;;6 седмици;;;;
QA Automation - май 2020;;https://softuni.bg/trainings/2550/qa-automation-may-2020;"Курсът QA Automation ще ви въведе по-дълбоко в тестването на софтуер и това как да осигурите качествен код, как да автоматизирате процесаи начините за неговото осъществяване. Ще се научите как да тествате Web Site/App с помощта на най-популярния framework за Web automation - Selenium WebDriver. Освен това ще изградим Continuous IntegrationFramework, който да спомогне за плавното надграждане на нашия тест проект. В края на курса ще се запознаем и с един от най-използваните инструменти за Service Testing, а именно SoapUI. ";240 лв.;05 май 2020;;10 седмици;;;;
Data Science - юни 2020;;https://softuni.bg/trainings/2779/data-science-june-2020;"И през тази годинаData Scienceзатвърждава позициите си среднай-търсените професии, не само в България, но и в световен мащаб. Това, заедно с ограничения брой специалисти в областта, разкриват добра перспектива за реализация на хората, притежаващи специфични умения за обработка на данни.По време на този курс ще формирате точния набор отзнания и умения за успешен професионален старт в Data Science сферата. След завършването на курса, ще сте в състояние да управлявате цялостния процес по събиране и обработване на данни: от задаването на правилни въпроси до публикуването на резултат. Освен това, ще притежавате иразработено портфолио, което демонстрира тези познания.По време на курса ще си отговорите на въпроси от практиката, като:Как се избира точен метод за анализ на данните;Как се прилага научният метод за взимане на решения;Как се използват статистическите методи за правене на изводи;Как се събират и изчистват данните, за да бъдат подготвени за анализ и моделиране;Как се извършва моделирането на данните;Какво е Exploratory data analysis и как се прилага.Курсът завършва с насоки за изграждане на цялостно data science приложение &ndash; архитектура на кода и структура на изследванията. Обучението е практически ориентирано и новите концепции ще бъдат затвърдени с писане на код. ";190 лв.;10 юни 2020;;9 седмици;;;;
C++ Advanced – юни 2020;;https://softuni.bg/trainings/2695/cpp-advanced-june-2020;"Курсът навлиза в спецификите на езика C++ и разглежда по-сложни тематики като пойнтери и управление на паметта. Ще се запознаете със създаването на класове и методи към тях, както и с основите на обектно-ориентираното програмиране през погледа на C++, създаване на конструктори и деструктори. Не на последно място ще придобиете умения да подреждате правилно кода в големи по обем проекти. ";240 лв.;23 юни 2020;;11 седмици;;;;
Machine Learning - септември 2020;;https://softuni.bg/trainings/2780/machine-learning-september-2020;"Машинното (само)обучение (machine learning) е пресечната точка на програмирането с математическите и научните методи. То представлява науката за това как да накараме компютрите да дават решения без да бъдат специално програмирани преди това. Благодарение на него живеем в свят, излязъл сякаш от научната фантастика: уебсайт разпознава емоциите на хората, машинният превод става все по-добър, разработват се самоуправляващи се автомобили, предлагат ни реклами, базирани на собствените ни желания и потребности. Списъкът е дълъг и се разширява все повече.От малкия скрипт, който предупреждава, че твърд диск предстои да изгори, до алгоритмите, които променят света, машинното обучение придобива все по-голяма популярност и дава все по-добри резултати.В този курс ще се запознаем с основите, благодарение на които работят всички алгоритми за машинно обучение. Ще разгледаме основните типове задачи, до които можем да сведем всеки реален проблем (като регресия и класификация). За всяка задача ще се запознаем с няколко алгоритъма, които я решават, а за всеки алгоритъм ще разберем кога се използва, как се обучава и тества.Стъпка по стъпка ще преминем през цялостния процес &ndash; от събирането на данните до финалния проект, предоставящ цялостно решение.По време на курса ще решаваме редица практически задачи, използвайки езика Python &ndash; един от най-популярните езици за целите на науката и работата с данни.Обучението, само по себе си, или в комбинация с познания по математика и data science, е отправна точка за кариерно развитие: за позиции като Machine Learning Engineer, Applied Machine Learning Researcher, Data Scientist, или подобни на тях. https://azure.microsoft.com/en-us/services/cognitive-services/emotion/#detection";190 лв.;02 септември 2020;;11 седмици;;;;
Deep Learning - декември 2020;;https://softuni.bg/trainings/2781/deep-learning-december-2020;"Целта на курса е да запознае курсистите с най-новите напредъци в областта на изкуствения интелект &ndash; а именно техниките свързани с Deep Learning. Ще се запознаете с основните принципи на &bdquo;дълбокото обучение&ldquo;, а също така и ще имплементирате собственоръчно системи за разпознаване на обекти в картини, машинен превод, автоматично предлагане на думи и други. За целта ще се използват модерни инструменти като Tensorflow, Scikit, etc. ";240 лв.;02 декември 2020;;9 седмици;;;;
